,zip_code,Median_Income,rental price,city,persons counted 2018,persons counted 2019,persons in perma housing,latitude,longitude,Median Age,Population,Household,median lengh of residence,average house income,Unemployed %,crimes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue
105,91754,58056,2503,Monterey Park,48,80,12,34.0534,-118.1271,44.8,33810,11480,10.2,95467,5.13,124,6,Performing Arts Venue,Business Service,Liquor Store
106,91755,49755,2548,Monterey Park,48,80,12,34.048,-118.115,45.8,28387,9185,8.8,90914,5.33,124,2,Home Service,Pool,Yoga Studio
107,91765,95285,2330,Diamond Bar,4,4,7,34.0066,-117.8098,43.4,47968,15750,12.8,130235,4.85,58,6,Bagel Shop,Bank,Korean Restaurant
108,91767,54157,2214,Pomona,785,698,394,34.0812,-117.7362,34.2,50474,14514,8.3,82836,7.51,877,1,Baseball Field,Donut Shop,Mexican Restaurant
109,91768,50044,2170,Pomona,785,698,394,34.0662,-117.7763,31.0,33281,7708,8.7,80424,9.22,877,1,Mexican Restaurant,Korean Restaurant,Japanese Restaurant
110,91770,51383,2435,Rosemead,70,91,49,34.0658,-118.0853,40.8,63008,16920,9.8,79943,5.43,194,6,Convenience Store,Vietnamese Restaurant,Pharmacy
111,91773,81020,2388,San Dimas,13,10,16,34.1023,-117.8169,43.8,34686,12414,10.2,120335,4.43,80,6,Grocery Store,Fast Food Restaurant,Mexican Restaurant
112,91775,81250,2600,San Gabriel,6,27,14,34.1155,-118.0857,44.0,25161,8645,10.7,125822,3.74,136,4,Food,Yoga Studio,Food Truck
113,91776,52051,2508,San Gabriel,6,27,14,34.089,-118.0955,42.1,39139,12008,8.2,80429,4.95,136,6,Asian Restaurant,Donut Shop,Yoga Studio
114,91780,67910,2588,Temple City,9,30,7,34.1016,-118.0537,44.1,35242,11500,10.0,105516,4.09,64,6,Home Service,Historic Site,Pet Store
115,91790,74965,2407,West Covina,254,142,42,34.0673,-117.9366,37.0,46256,13167,9.9,101350,6.83,292,6,Bakery,Sushi Restaurant,Gym / Fitness Center
116,91792,70932,2404,West Covina,254,142,42,34.0229,-117.8975,38.1,32385,9438,9.3,97211,7.49,292,6,Korean Restaurant,Auto Garage,Restaurant
117,91801,53644,2499,Alhambra,52,68,39,34.0914,-118.1293,42.6,54337,20094,7.4,87650,4.72,193,6,Ice Cream Shop,Sushi Restaurant,Bakery
118,91803,61424,2484,Alhambra,52,68,39,34.0745,-118.1434,42.6,30261,9974,9.1,93720,3.92,193,6,Construction & Landscaping,Indonesian Restaurant,Flower Shop
119,93534,37883,1865,Lancaster,---(2),0,0,34.6909,-118.1491,33.1,42606,14857,6.6,55832,6.48,1193,1,Mexican Restaurant,Vegetarian / Vegan Restaurant,Burger Joint
120,93552,60612,1945,Palmdale,---(3),0,0,34.5715,-118.0231,31.0,43851,10672,8.9,73917,8.64,591,2,Pool,Print Shop,Yoga Studio
